llm_name,condition,eval_row_id,article_key,filler_variant_id,filler_pack_id,filler_family,target_position,gold_epu,disagreement_flag,newspaper,year,orig_content_len,eval_content_len,was_truncated,truncation_fraction,target_est_tokens,total_chars,total_est_tokens,pred_epu,result,valid_prediction,parse_ok,parse_fail,parse_error,confidence,focus_excerpt,excerpt_in_target,fp,fn,raw_text,prompt_char_len,prompt_est_tokens
google/gemini-3.1-pro-preview,medium,Midcentury_7569__fv0__center,Midcentury_7569,0,civic_notice_1,civic_notices,center,1,0,NYT,1993,5832,2989,1,0.48748285322359397,748,7000,1750,0,0.0,1,1,0,ok,0.95,today's data prompted expressions of concern that the risks to further expansion had grown. 'Economy Could Turn Down',1,0,1,"{
  ""epu"": 0,
  ""confidence"": 0.95,
  ""focus_excerpt"": ""today's data prompted expressions of concern that the risks to further expansion had grown. 'Economy Could Turn Down'""
}",8105,2027
google/gemini-3.1-pro-preview,medium,Current_840__fv0__center,Current_840,0,transit_1,transit_summaries,center,1,1,DMNB,1995,3268,2989,1,0.08537331701346385,748,7000,1750,1,1.0,1,1,0,ok,0.98,increasinglyuncertainwhether Federal Reserve policy-makers will cut interest rates next week.,1,0,0,"{
  ""epu"": 1,
  ""confidence"": 0.98,
  ""focus_excerpt"": ""increasinglyuncertainwhether Federal Reserve policy-makers will cut interest rates next week.""
}",8106,2027
google/gemini-3.1-pro-preview,medium,Current_1795__fv0__center,Current_1795,0,catalog_1,catalog_metadata,center,0,0,SFC,2008,7887,2989,1,0.6210219348294662,748,7000,1750,0,1.0,1,1,0,ok,1.0,"Thanks to a new is.S. policy, Nid Paw hopes to become one of 18,000 Burmese refugees allowed to settle in the isnited States in 2008.",1,0,0,"{
  ""epu"": 0,
  ""confidence"": 1.0,
  ""focus_excerpt"": ""Thanks to a new is.S. policy, Nid Paw hopes to become one of 18,000 Burmese refugees allowed to settle in the isnited States in 2008.""
}",8106,2027
google/gemini-3.1-pro-preview,medium,Current_292__fv0__center,Current_292,0,encyclopedia_1,encyclopedia_neutral,center,0,1,MIHB,1990,2734,2734,0,0.0,684,7000,1750,0,1.0,1,1,0,ok,0.9,"In the midst of change and uncertainty, the alliance remains a reliable guarantor of peace",1,0,0,"{
  ""epu"": 0,
  ""confidence"": 0.9,
  ""focus_excerpt"": ""In the midst of change and uncertainty, the alliance remains a reliable guarantor of peace""
}",8106,2027
google/gemini-3.1-pro-preview,medium,Midcentury_6605__fv0__center,Midcentury_6605,0,encyclopedia_1,encyclopedia_neutral,center,1,0,NYT,1985,9963,2989,1,0.6999899628625916,748,7000,1750,1,1.0,1,1,0,ok,0.95,"Tax reform. Interest rates. The price of oil. The dollar. And, of course, the twin monster deficits in foreign trade and the Federal budget. These are the uncertainties",1,0,0,"{
  ""epu"": 1,
  ""confidence"": 0.95,
  ""focus_excerpt"": ""Tax reform. Interest rates. The price of oil. The dollar. And, of course, the twin monster deficits in foreign trade and the Federal budget. These are the uncertainties""
}",8106,2027
google/gemini-3.1-pro-preview,medium,Midcentury_7618__fv0__center,Midcentury_7618,0,archive_1,archive_boilerplate,center,1,0,NYT,2001,7843,2989,1,0.6188958306770369,748,7000,1750,1,1.0,1,1,0,ok,0.85,Democrats criticized the tax cut as a giveaway to the rich that threatened the drive to reduce government debt. The warnings were echoed by many mainstream economists,0,0,0,"{
  ""epu"": 1,
  ""confidence"": 0.85,
  ""focus_excerpt"": ""Democrats criticized the tax cut as a giveaway to the rich that threatened the drive to reduce government debt. The warnings were echoed by many mainstream economists""
}",8106,2027
google/gemini-3.1-pro-preview,medium,Current_79__fv0__center,Current_79,0,civic_notice_1,civic_notices,center,0,0,LAT,2007,15467,2989,1,0.8067498545289973,748,7000,1750,0,1.0,1,1,0,ok,0.99,Segev describes in brutal detail the efforts by senior IDF officers to bully the politicians into authorizing the army to attack.,1,0,0,"{
  ""epu"": 0,
  ""confidence"": 0.99,
  ""focus_excerpt"": ""Segev describes in brutal detail the efforts by senior IDF officers to bully the politicians into authorizing the army to attack.""
}",8105,2027
google/gemini-3.1-pro-preview,medium,Midcentury_8077__fv0__center,Midcentury_8077,0,catalog_1,catalog_metadata,center,0,0,WPO,1994,3811,2989,1,0.21569141957491467,748,7000,1750,0,1.0,1,1,0,ok,0.95,"The European isnion's ;. representative in,the isnited. States called for a new.'• transatlantic free-trade"" agreement to meet the challenge of moves toward free trade in the Pacific region.",1,0,0,"{
  ""epu"": 0,
  ""confidence"": 0.95,
  ""focus_excerpt"": ""The European isnion's ;. representative in,the isnited. States called for a new.'• transatlantic free-trade\"" agreement to meet the challenge of moves toward free trade in the Pacific region.""
}",8106,2027
google/gemini-3.1-pro-preview,medium,Current_654__fv0__center,Current_654,0,catalog_1,catalog_metadata,center,0,0,SFC,2000,6665,2989,1,0.5515378844711178,748,7000,1750,0,1.0,1,1,0,ok,1.0,Concerns about future prospects for the world's biggest software company prompted a huge sell-off in Microsoft shares yesterday,1,0,0,"{
  ""epu"": 0,
  ""confidence"": 1.0,
  ""focus_excerpt"": ""Concerns about future prospects for the world's biggest software company prompted a huge sell-off in Microsoft shares yesterday""
}",8106,2027
google/gemini-3.1-pro-preview,medium,Midcentury_4968__fv0__center,Midcentury_4968,0,civic_notice_1,civic_notices,center,1,0,WPO,1989,6209,2989,1,0.5186020293122886,748,7000,1750,1,1.0,1,1,0,ok,0.85,"Toy-Making in China Is Losing Some Appeal: isncertainties Worry Hong ... The toymakers are being pushed both by the economic austerity program of China's leaders, who have cut back many of the privileges of Guangdong province",0,0,0,"{
  ""epu"": 1,
  ""confidence"": 0.85,
  ""focus_excerpt"": ""Toy-Making in China Is Losing Some Appeal: isncertainties Worry Hong ... The toymakers are being pushed both by the economic austerity program of China's leaders, who have cut back many of the privileges of Guangdong province""
}",8105,2027
